date,tp2m_med
20010101,25.403464550742463
20010102,25.553856219429502
20010103,25.447034913656065
20010104,25.20420907210919
20010105,25.030015093945067
20010106,25.5226735633972
20010107,24.820250779132532
20010108,25.149837973719727
20010109,24.93069283301642
20010110,24.779405142593767
20010111,25.19412691246607
20010112,25.05008321526336
20010113,24.87864499921373
20010114,24.992728114121785
20010115,24.927059717937013
20010116,24.66071815745805
20010117,25.140793158371206
20010118,24.84254569682904
20010119,24.922150424842286
20010120,24.829443323784925
20010121,24.554702517219912
20010122,25.19149665643232
20010123,25.06815568030352
20010124,24.937936001545697
20010125,25.18544412105888
20010126,25.475010822085395
20010127,25.719550894253548
20010128,25.28606559311275
20010129,25.10047002510047
20010130,25.137361047931304
20010131,24.81213169655134
20010201,24.895725575929767
20010202,24.709222724899163
20010203,24.957805411815517
20010204,24.92698806897221
20010205,25.096626365500473
20010206,25.328114891143347
20010207,25.176361887316943
20010208,25.259573379810757
20010209,25.384631824564263
20010210,25.33710102075124
20010211,25.441341355582974
20010212,25.427561890071146
20010213,25.219486625294635
20010214,24.8485787334016
20010215,25.48615095604379
20010216,25.66468155731386
20010217,25.713089321750697
20010218,25.358768102805502
20010219,25.53466008457669
20010220,25.634942227081023
20010221,25.245107312165253
20010222,25.45522206939153
20010223,25.12011884328369
20010224,25.28738043266883
20010225,25.22831711882727
20010226,24.437281285553027
20010227,25.120327516060907
20010228,25.08449936851931
20010301,25.083109198637413
20010302,25.161510737111968
20010303,24.961366898984544
20010304,25.712195333538432
20010305,25.23220562884264
20010306,25.745369987161855
20010307,26.041617229486775
20010308,26.01674602431919
20010309,25.89614185889372
20010310,26.087745019915452
20010311,25.986596350038987
20010312,25.910979891332012
20010313,26.274637522315583
20010314,26.626649565601312
20010315,26.589573368476795
20010316,25.75741658567313
20010317,25.570246929007148
20010318,25.543820428410477
20010319,25.959231679912637
20010320,26.167364499640176
20010321,26.39107154361231
20010322,25.886207748280583
20010323,24.930722983103742
20010324,25.403945859005034
20010325,26.053233812235284
20010326,25.717934180082917
20010327,25.119844821268337
20010328,25.20265609378022
20010329,25.665106000942277
20010330,25.748723386497197
20010331,25.627300599650933
20010401,25.61667394779774
20010402,25.103917269470625
20010403,25.67374333025499
20010404,25.38717027098448
20010405,25.435546678930674
20010406,25.66563213918579
20010407,25.61102442221866
20010408,25.6738494791461
20010409,25.296563089409496
20010410,25.535581454346023
20010411,25.849230032681294
20010412,25.76870262972686
20010413,25.487898567417133
20010414,25.20993670403486
20010415,25.87995047630768
20010416,25.686289197161262
20010417,25.95546749588006
20010418,25.47430722526081
20010419,25.521884833564997
20010420,25.853334933375436
20010421,25.995260472802013
20010422,25.968351735371805
20010423,26.42029675071877
20010424,26.501842699504888
20010425,25.674584088226556
20010426,26.137005759229428
20010427,25.78384315246977
20010428,26.021435246500236
20010429,25.884286122609808
20010430,26.10406854335767
20010501,25.669537066856602
20010502,25.559468919023907
20010503,25.904748654204848
20010504,25.64611068774274
20010505,25.695615316496365
20010506,26.053728894216142
20010507,26.369359546752072
20010508,26.219207643823616
20010509,26.09040137614717
20010510,25.481638008992853
20010511,25.043671467751764
20010512,25.95873901407879
20010513,26.48347231504524
20010514,26.127241213901314
20010515,25.76517144491014
20010516,25.711064466756728
20010517,26.154772220938117
20010518,26.3049032093075
20010519,26.333321898427542
20010520,26.15957677983709
20010521,26.215261736044184
20010522,25.729283042491282
20010523,25.736906657987976
20010524,25.63494864217682
20010525,25.59174067026515
20010526,25.912175192370103
20010527,26.032835574854346
20010528,26.318955088195697
20010529,26.300509182731037
20010530,26.343392102346233
20010531,26.160386715017292
20010601,25.43134127003318
20010602,25.215121263127376
20010603,24.63833202774444
20010604,24.7089577230091
20010605,25.23978493706231
20010606,25.475735563675904
20010607,25.16628827564353
20010608,25.355717174061567
20010609,25.575085560619936
20010610,25.602886216298717
20010611,25.247999015079905
20010612,24.714866951684478
20010613,24.859368012714796
20010614,25.208331199143526
20010615,25.34065246625051
20010616,25.5609278587034
20010617,25.79310348839515
20010618,25.40475323268172
20010619,24.351447389781622
20010620,23.137077077725813
20010621,22.938301112364226
20010622,23.295553557313387
20010623,23.746666222666818
20010624,24.314210217880834
20010625,24.804174166288004
20010626,25.207955958527794
20010627,25.67327704895506
20010628,25.557640876105996
20010629,25.598197939010877
20010630,25.7103333902898
20010701,25.66992177230907
20010702,25.677574225230714
20010703,25.870926243835136
20010704,25.793251094105504
20010705,25.400554501895837
20010706,25.161766344312966
20010707,25.465362582383612
20010708,25.267542995870325
20010709,25.692653482888893
20010710,25.67728579675089
20010711,25.689443358378963
20010712,26.019055635187776
20010713,25.96004806837509
20010714,25.953459752008982
20010715,25.6358999343319
20010716,25.356048242811603
20010717,25.268136935914036
20010718,25.898565088722638
20010719,25.959682615928283
20010720,26.261213765860248
20010721,26.16742982455944
20010722,25.244862933033104
20010723,25.420804335915005
20010724,25.54137765129477
20010725,25.610971902564778
20010726,25.76512018948333
20010727,25.627445171752793
20010728,25.078743961151826
20010729,24.578017787442924
20010730,24.803893245671613
20010731,25.432224754934662
20010801,25.89753671667476
20010802,25.8715590583679
20010803,25.710908422296495
20010804,25.504851830585782
20010805,25.820952792750457
20010806,26.13029778981129
20010807,25.899264319057025
20010808,26.070079301159353
20010809,26.1076602534188
20010810,26.131978076879548
20010811,26.1705948431287
20010812,26.098771553260217
20010813,25.74815473749855
20010814,25.979184059772066
20010815,26.401934331891795
20010816,26.570767247979887
20010817,26.82629447670896
20010818,27.30429878251565
20010819,27.22073373089536
20010820,26.808465974773625
20010821,26.867672631715642
20010822,26.704120534282325
20010823,26.416202059648967
20010824,26.488728922276223
20010825,26.42075284737118
20010826,26.76621377295397
20010827,27.43255782938431
20010828,27.58137891670008
20010829,27.643921529462887
20010830,27.467785472431576
20010831,26.946404222988345
20010901,26.915223024519413
20010902,26.69961852465049
20010903,26.964410389139665
20010904,27.12782858200389
20010905,27.04515237688784
20010906,26.847346835674667
20010907,26.27512348256837
20010908,25.64354939122416
20010909,26.35976964977082
20010910,26.67259323812686
20010911,27.105820510061356
20010912,26.594333137479207
20010913,26.644428584325507
20010914,27.016563908357767
20010915,27.11177491068758
20010916,26.980124781467424
20010917,26.44207579891045
20010918,26.203999210693322
20010919,25.977663132046487
20010920,25.582374096017972
20010921,26.09685487911174
20010922,26.91659216194252
20010923,26.887968413156543
20010924,26.957829404293538
20010925,27.171293234272202
20010926,27.620425789306758
20010927,27.562421705707244
20010928,27.46847992862466
20010929,27.308930193094263
20010930,27.031282025272283
20011001,27.33167768897559
20011002,27.44057580087681
20011003,27.817795615081593
20011004,27.728877074803375
20011005,27.774502476277842
20011006,27.732156850587774
20011007,27.807557010944183
20011008,28.22731501796864
20011009,27.543991535109637
20011010,27.449818346851263
20011011,27.55168634821691
20011012,26.72178883520413
20011013,27.374535837731706
20011014,27.410574266385836
20011015,27.222103321621233
20011016,27.286036754802097
20011017,27.074877557839038
20011018,27.321683209039715
20011019,28.094130020311656
20011020,28.381886043436225
20011021,28.63529575806745
20011022,28.541767217864567
20011023,27.798389332730864
20011024,27.61801872401204
20011025,26.972264551188935
20011026,26.209825388079317
20011027,26.733665996869963
20011028,27.12267962705619
20011029,27.47300732847498
20011030,27.18895097422396
20011031,26.206983001205703
20011101,25.80216946781792
20011102,26.41664797248895
20011103,27.069788017388344
20011104,27.82977121663196
20011105,27.38063616667344
20011106,28.08873517200875
20011107,28.141372864586604
20011108,26.902121106827835
20011109,26.883533274425808
20011110,26.947628243652897
20011111,27.349433081067684
20011112,27.82987757738321
20011113,27.983556274698905
20011114,28.028340762647066
20011115,28.276130211275486
20011116,28.10772864261719
20011117,27.46770311901285
20011118,27.658217541662705
20011119,27.812653270919427
20011120,27.5251421218072
20011121,28.036413425106865
20011122,28.02961663226062
20011123,27.97836169309312
20011124,27.913112766758015
20011125,27.718190231742305
20011126,27.097252515143904
20011127,27.02380591993125
20011128,27.27049334575712
20011129,27.049034087880493
20011130,27.191986709897993
20011201,27.855367774423858
20011202,27.83952923825179
20011203,27.12089816578658
20011204,26.384927014879935
20011205,26.731269608825432
20011206,26.923246091891137
20011207,27.026999746545425
20011208,26.867818127630976
20011209,26.597297430456
20011210,27.149472370905865
20011211,27.53303375010315
20011212,26.987059008915107
20011213,27.163429066689854
20011214,27.294102984477348
20011215,27.3169989636235
20011216,27.23179525406138
20011217,27.341192894602433
20011218,26.899737838397314
20011219,27.56235743188962
20011220,27.42292190092812
20011221,27.37117038835723
20011222,27.4143308486072
20011223,26.982592364819713
20011224,27.335592609931474
20011225,27.263381167151003
20011226,27.121065920884586
20011227,26.858619369949587
20011228,27.277714522839073
20011229,27.10682536669612
20011230,27.165565147424196
20011231,26.949142788547572
20020101,26.995408901963042
20020102,26.580604127882797
20020103,26.475861835130516
20020104,26.42357476506777
20020105,26.560475457203665
20020106,25.964905818113632
20020107,25.813764573990877
20020108,25.701197844873104
20020109,26.17920276016995
20020110,26.023137282054844
20020111,26.17884532146214
20020112,26.383168656134032
20020113,26.763808194172455
20020114,26.379470601795724
20020115,25.989628020867936
20020116,25.814356467326924
20020117,26.09417520616804
20020118,26.554073342571957
20020119,25.97689391652762
20020120,25.286244061344565
20020121,25.349106757964627
20020122,25.79322038663267
20020123,26.160558216183237
20020124,26.054941306782016
20020125,25.982633474443404
20020126,25.829929967901606
20020127,26.18416166065137
20020128,26.327291282076228
20020129,26.676659621219628
20020130,26.33313791687205
20020131,26.133346764239032
20020201,25.698251240244463
20020202,26.045885278307722
20020203,25.84050500959131
20020204,25.863851604305786
20020205,26.30739942169149
20020206,26.252033733558623
20020207,25.414228854169007
20020208,25.472986779711224
20020209,25.600191378830054
20020210,26.0038764059357
